etiqueta,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,0,0,0,0.061745,0.005172,-0.017163,0.122641,-0.033889,-0.022288,0.165422,-0.075619,-0.028383,0.203292,-0.098174,-0.032383,0.10854,-0.111136,-0.001969,0.126785,-0.139488,-0.030505,0.103018,-0.098636,-0.049753,0.081776,-0.062171,-0.057877,0.075462,-0.131686,-0.003815,0.094787,-0.162642,-0.035881,0.073591,-0.105293,-0.049678,0.055323,-0.062716,-0.052659,0.041814,-0.144243,-0.010501,0.058612,-0.178874,-0.041269,0.045742,-0.120102,-0.042482,0.033013,-0.077834,-0.035574,0.007908,-0.152068,-0.018628,0.021368,-0.183564,-0.037407,0.016353,-0.145646,-0.035606,0.010304,-0.113176,-0.029855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0.055895,0.000153,-0.02169,0.109942,-0.044662,-0.026949,0.144504,-0.091491,-0.030652,0.172168,-0.120302,-0.031399,0.095712,-0.103676,-0.006349,0.094638,-0.146778,-0.033172,0.069699,-0.106837,-0.049215,0.054807,-0.06855,-0.055006,0.059978,-0.119629,-0.003225,0.060814,-0.164191,-0.034521,0.042949,-0.107908,-0.04529,0.033469,-0.064685,-0.045666,0.028665,-0.127242,-0.005028,0.026937,-0.169715,-0.036126,0.016872,-0.113944,-0.036067,0.01356,-0.073825,-0.027819,0.000882,-0.128559,-0.008333,-9.20E-05,-0.165799,-0.027792,-0.006198,-0.12698,-0.026122,-0.005604,-0.09382,-0.019785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0.051846,0.001258,-0.023671,0.102888,-0.025463,-0.033259,0.134319,-0.057108,-0.040781,0.154159,-0.091376,-0.045868,0.091806,-0.122288,-0.019581,0.079328,-0.118116,-0.044001,0.05997,-0.076619,-0.058953,0.051841,-0.049939,-0.065757,0.060509,-0.147051,-0.017185,0.045013,-0.134195,-0.041466,0.030953,-0.082904,-0.048778,0.027032,-0.05196,-0.050178,0.027632,-0.157883,-0.018543,0.014256,-0.153861,-0.043601,0.006662,-0.106291,-0.041849,0.006772,-0.07799,-0.035551,-0.004049,-0.160666,-0.021952,-0.01072,-0.171991,-0.038929,-0.013704,-0.135074,-0.035766,-0.011408,-0.108261,-0.029178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0.058179,0.017614,-0.010276,0.122005,-0.016192,-0.018301,0.16216,-0.048897,-0.026808,0.203224,-0.068066,-0.031889,0.123606,-0.139367,-0.015089,0.157986,-0.080582,-0.039846,0.13085,-0.036915,-0.052876,0.111558,-0.031238,-0.059083,0.100183,-0.158804,-0.02072,0.143011,-0.082135,-0.042871,0.113044,-0.038243,-0.046576,0.09162,-0.040177,-0.046652,0.071946,-0.156713,-0.028745,0.11606,-0.083817,-0.050875,0.092334,-0.037318,-0.043328,0.073523,-0.036891,-0.035032,0.042654,-0.142062,-0.037561,0.083093,-0.082061,-0.050438,0.067792,-0.047608,-0.042736,0.051401,-0.046709,-0.035095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0.065345,0.047967,-0.012636,0.132125,0.053768,-0.01566,0.18649,0.040039,-0.02188,0.227158,0.028724,-0.026992,0.14637,-0.033369,0.006867,0.178972,-0.052261,-0.020416,0.148099,-0.031693,-0.041215,0.114387,-0.012512,-0.050228,0.122687,-0.073269,0.002944,0.156348,-0.096943,-0.030716,0.118854,-0.056593,-0.047411,0.081359,-0.024887,-0.051368,0.096691,-0.107332,-0.005694,0.12868,-0.130233,-0.037774,0.095786,-0.082457,-0.040984,0.062552,-0.047714,-0.034375,0.067652,-0.139685,-0.015495,0.093463,-0.154619,-0.035431,0.076761,-0.118158,-0.034498,0.057203,-0.088098,-0.028584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0.060563,0.049518,-0.001966,0.119461,0.055113,0.001925,0.165578,0.058187,-0.000882,0.200745,0.061197,-0.001571,0.136446,-0.053394,0.026867,0.176059,-0.054819,0.008769,0.145246,-0.016771,-0.00372,0.10954,0.002666,-0.004722,0.124845,-0.086814,0.017671,0.166533,-0.079408,-0.008617,0.128249,-0.036762,-0.024443,0.09297,-0.014983,-0.026668,0.111321,-0.124873,0.003921,0.15321,-0.116563,-0.025538,0.119383,-0.072456,-0.031971,0.08675,-0.050491,-0.025328,0.091997,-0.165533,-0.009848,0.147717,-0.205714,-0.023898,0.176616,-0.230734,-0.024038,0.19827,-0.257598,-0.019824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0.047134,0.023047,-0.003348,0.083979,0.020967,-0.005836,0.107978,0.015735,-0.012505,0.124637,0.0005,-0.01948,0.117261,-0.08053,0.018032,0.157175,-0.107116,0.006484,0.182897,-0.105598,-0.007641,0.199156,-0.099452,-0.017041,0.10706,-0.105681,0.009344,0.151015,-0.133178,0.001016,0.174451,-0.128763,-0.010722,0.189723,-0.121194,-0.019861,0.089762,-0.129616,-0.002878,0.131611,-0.150208,-0.01449,0.14702,-0.130416,-0.019851,0.153162,-0.110928,-0.022827,0.064646,-0.150093,-0.016278,0.096987,-0.158461,-0.02562,0.108446,-0.13231,-0.024781,0.10968,-0.106415,-0.023269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0.092436,0.053267,-0.015016,0.178366,0.040436,-0.018249,0.247332,0.006985,-0.026578,0.300556,-0.010156,-0.032396,0.182912,-0.063118,0.015434,0.227624,-0.085969,-0.022239,0.185738,-0.051121,-0.050046,0.147036,-0.021764,-0.062226,0.15491,-0.109313,0.009114,0.208045,-0.136396,-0.034358,0.160961,-0.082239,-0.054451,0.117075,-0.042872,-0.058643,0.123411,-0.152714,-0.003978,0.177724,-0.180784,-0.046354,0.13575,-0.116146,-0.047261,0.094459,-0.074136,-0.035863,0.086502,-0.19611,-0.018822,0.133146,-0.210511,-0.046234,0.112735,-0.156328,-0.043396,0.085189,-0.116799,-0.033946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0.067727,0.02972,-0.017987,0.140542,0.004974,-0.023,0.195252,-0.033784,-0.029702,0.227596,-0.07973,-0.034519,0.1371,-0.077259,-0.000719,0.164635,-0.109739,-0.034029,0.129626,-0.077365,-0.057272,0.097905,-0.045874,-0.067063,0.104418,-0.112501,-0.003241,0.133917,-0.14792,-0.041521,0.099528,-0.094316,-0.05807,0.069395,-0.051602,-0.061334,0.071238,-0.139266,-0.011189,0.096614,-0.175928,-0.046427,0.071194,-0.116883,-0.048691,0.047996,-0.073154,-0.041122,0.037675,-0.161431,-0.0208,0.057549,-0.191253,-0.042148,0.044908,-0.150399,-0.041314,0.031895,-0.113984,-0.035708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,0.038058,0.013119,-0.00537,0.068883,-0.001299,-0.006692,0.092994,-0.021785,-0.010602,0.112955,-0.038041,-0.013062,0.06584,-0.053125,0.009827,0.086492,-0.067213,-0.004337,0.074568,-0.04303,-0.014246,0.058212,-0.02469,-0.017642,0.054067,-0.065155,0.006719,0.077273,-0.080098,-0.009997,0.062714,-0.048543,-0.018277,0.045659,-0.028237,-0.019705,0.041208,-0.077676,0.00067,0.066472,-0.090841,-0.017324,0.052718,-0.057292,-0.018328,0.035507,-0.037612,-0.013425,0.025489,-0.090527,-0.0059,0.050995,-0.097494,-0.018445,0.044791,-0.071598,-0.017165,0.031845,-0.054238,-0.012649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
